GeneID	Symbol	Synonyms	description	type_of_gene
113534056	nfyal	-	nuclear transcription factor Y, alpha, like	protein-coding
113534057	ralgapa1	-	Ral GTPase activating protein catalytic subunit alpha 1	protein-coding
113534059	nfkbiab	nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha b	protein-coding
113534060	tmem121aa	tmem121	transmembrane protein 121Aa	protein-coding
113534061	tmem79b	-	transmembrane protein 79b	protein-coding
113534062	uts2r3	-	urotensin-2 receptor 3	protein-coding
113534063	wdr90	-	WD repeat domain 90	protein-coding
113534064	rhot2	-	ras homolog family member T2	protein-coding
113534065	rhbdl1	-	rhomboid, veinlet-like 1 (Drosophila)	protein-coding
113534066	LOC113534066	-	histone H1.0-B	protein-coding
113534067	jkamp	-	jnk1/mapk8 associated membrane protein	protein-coding
113534068	ptp4a2a	-	protein tyrosine phosphatase 4A2a	protein-coding
113534069	tiam2a	-	TIAM Rac1 associated GEF 2a	protein-coding
113534070	map7a	-	microtubule-associated protein 7a	protein-coding
113534071	themis2	-	thymocyte selection associated family member 2	protein-coding
113534072	rpa2	-	replication protein A2	protein-coding
113534073	znf395a	-	zinc finger protein 395a	protein-coding
113534074	cd27	-	CD27 molecule	protein-coding
113534075	tdp1	-	tyrosyl-DNA phosphodiesterase 1	protein-coding
113534076	sptlc2a	sptlc2	serine palmitoyltransferase, long chain base subunit 2a	protein-coding
113534077	setd3	-	SET domain containing 3, actin histidine methyltransferase	protein-coding
113534078	si:dkey-288a3.2	-	protein phosphatase 1 regulatory subunit 37	protein-coding
113534079	LOC113534079	-	adenylate kinase 7	protein-coding
113534080	LOC113534080	-	ankyrin repeat and EF-hand domain-containing protein 1-like	protein-coding
113534081	LOC113534081	-	uncharacterized LOC113534081	protein-coding
113534082	gabrr2a	-	gamma-aminobutyric acid type A receptor subunit rho2a	protein-coding
113534083	mlf2	-	myeloid leukemia factor 2	protein-coding
113534084	gja10a	cx52.7	gap junction protein alpha 10 a	protein-coding
113534085	manea	-	mannosidase, endo-alpha	protein-coding
113534086	si:dkey-283b15.2	-	neuronal pentraxin-2	protein-coding
113534087	si:ch211-266g18.10	-	titin	protein-coding
113534088	nid2a	nid2	nidogen 2a (osteonidogen)	protein-coding
113534089	irx4a	-	iroquois homeobox 4a	protein-coding
113534091	gbx1	-	gastrulation brain homeobox 1	protein-coding
113534092	pth2	-	parathyroid hormone 2	protein-coding
113534094	ush2a	-	Usher syndrome 2A (autosomal recessive, mild)	protein-coding
113534095	nppcl	wu:fj39g12	natriuretic peptide C-like	protein-coding
113534096	si:ch211-196f5.2	-	uncharacterized LOC113534096	protein-coding
113534097	fam168b	-	family with sequence similarity 168 member B	protein-coding
