GeneID	Symbol	Synonyms	description	type_of_gene
113542265	LOC113542265	-	gastrula zinc finger protein XlCGF26.1-like	protein-coding
113542266	zmat4a	zmat4	zinc finger, matrin-type 4a	protein-coding
113542267	pde11al	-	phosphodiesterase 11a, like	protein-coding
113542268	coro1ca	coro1c	coronin, actin binding protein, 1Ca	protein-coding
113542269	selplg	-	selectin P ligand	protein-coding
113542270	adam15	-	ADAM metallopeptidase domain 15	protein-coding
113542271	dcst2	-	DC-STAMP domain containing 2	protein-coding
113542272	plpp7a	-	phospholipid phosphatase 7a (inactive)	protein-coding
113542274	cgna	-	cingulin a	protein-coding
113542275	tuft1a	-	tuftelin 1a	protein-coding
113542276	gra	cunh8orf88	granulito	protein-coding
113542277	LOC113542277	-	immunoglobulin superfamily DCC subclass member 3	protein-coding
113542278	sp8b	-	sp8 transcription factor b	protein-coding
113542279	fam78aa	-	family with sequence similarity 78 member Aa	protein-coding
113542280	LOC113542280	-	histone-lysine N-methyltransferase ASH1L	protein-coding
113542281	LOC113542281	-	zinc finger protein 239-like	protein-coding
113542282	kifl	si:dkey-96l17.6	kinesin family-like	protein-coding
113542284	cacng6b	-	calcium channel, voltage-dependent, gamma subunit 6b	protein-coding
113542285	lix1	-	limb and CNS expressed 1	protein-coding
113542286	riiad1	-	regulatory subunit of type II PKA R-subunit domain containing 1	protein-coding
113542287	gba1	gba	glucosylceramidase beta 1	protein-coding
113542288	dap3	-	death associated protein 3	protein-coding
113542289	rnf115a	rnf115	ring finger protein 115a	protein-coding
113542290	tnxba	-	tenascin XBa	protein-coding
113542291	ank1a	-	ankyrin 1, erythrocytic a	protein-coding
113542292	plppr3b	plppr3	phospholipid phosphatase related 3b	protein-coding
113542293	LOC113542293	-	zinc finger protein 850-like	pseudo
113542294	gsk3ab	gsk3a	glycogen synthase kinase 3 alpha b	protein-coding
113542295	znf526	-	zinc finger protein 526	protein-coding
113542296	gda	-	guanine deaminase	protein-coding
113542297	zfand5a	zfand5	zinc finger, AN1-type domain 5a	protein-coding
113542300	LOC113542300	-	zinc finger protein ZFP2-like	protein-coding
113542302	atxn2	-	ataxin 2	protein-coding
113542303	ankib1b	ankib1	ankyrin repeat and IBR domain containing 1b	protein-coding
113542304	chrnb2	-	cholinergic receptor, nicotinic, beta 2	protein-coding
113542305	tbc1d9	-	TBC1 domain family, member 9 (with GRAM domain)	protein-coding
113542306	s100t	-	S100 calcium binding protein T	protein-coding
113542307	si:ch211-105c13.3	-	uncharacterized LOC113542307	protein-coding
113542308	LOC113542308	-	protein S100-A13	protein-coding
113542309	col14a1a	col14a1	collagen, type XIV, alpha 1a	protein-coding
113542310	mrpl13	-	mitochondrial ribosomal protein L13	protein-coding
113542311	flcn	-	folliculin	protein-coding
113542312	leng9	-	leukocyte receptor cluster (LRC) member 9	protein-coding
113542313	hoxa2b	hoxa2	homeobox A2b	protein-coding
113542314	hoxa10b	hoxa10	homeobox A10b	protein-coding
113542315	hoxa11b	hoxa11	homeobox A11b	protein-coding
113542316	hoxa9b	hoxa9	homeobox A9b	protein-coding
113542317	LOC113542317	dennd4b	DENN domain-containing protein 4B	protein-coding
113542318	ednraa	-	endothelin receptor type Aa	protein-coding
113542319	usp5	-	ubiquitin specific peptidase 5 (isopeptidase T)	protein-coding
113542320	p3h3	-	prolyl 3-hydroxylase 3	protein-coding
113542321	cd4-2.2	-	CD4-2 molecule, tandem duplicate 2	protein-coding
113542322	vamp8	-	vesicle-associated membrane protein 8 (endobrevin)	protein-coding
113542323	chn2	-	chimerin 2	protein-coding
113542324	grin2db	-	glutamate receptor, ionotropic, N-methyl D-aspartate 2D, b	protein-coding
113542325	kcnq5a	kcnq5	potassium voltage-gated channel, KQT-like subfamily, member 5a	protein-coding
113542326	atp1a3b	atp1a3	ATPase Na+/K+ transporting subunit alpha 3b	protein-coding
113542327	rph3ab	rph3a	rabphilin 3A homolog (mouse), b	protein-coding
113542328	LOC113542328	hectd4	probable E3 ubiquitin-protein ligase HECTD4	protein-coding
113542329	epn1a	epn1	epsin 1a	protein-coding
113542330	iqgap3	-	IQ motif containing GTPase activating protein 3	protein-coding
113542331	LOC113542331	-	transcriptional repressor p66-beta	protein-coding
113542332	slc2a3b	-	solute carrier family 2 member 3b	protein-coding
113542333	LOC113542333	-	cytochrome c oxidase subunit 6B1	protein-coding
113542334	ankrd34bb	ankrd34b	ankyrin repeat domain 34Bb	protein-coding
113542336	fam151b	-	family with sequence similarity 151 member B	protein-coding
113542337	trpm3	-	transient receptor potential cation channel, subfamily M, member 3	protein-coding
113542338	sart3	-	spliceosome associated factor 3, U4/U6 recycling protein	protein-coding
113542339	ficd	-	FIC domain protein adenylyltransferase	protein-coding
113542340	LOC113542340	-	CREB-regulated transcription coactivator 2	protein-coding
113542341	itga10	-	integrin, alpha 10	protein-coding
113542342	polr3c	-	polymerase (RNA) III (DNA directed) polypeptide C	protein-coding
113542343	LOC113542343	-	carcinoembryonic antigen-related cell adhesion molecule 1	protein-coding
113542344	LOC113542344	-	hemicentin-1	protein-coding
113542345	LOC113542345	-	hemicentin-1	protein-coding
113542347	LOC113542347	stk32c	serine/threonine-protein kinase 32C	protein-coding
113542349	LOC113542349	-	uncharacterized LOC113542349	ncRNA
113542350	cemip2	-	cell migration inducing hyaluronidase 2	protein-coding
113542351	rxrab	-	retinoid x receptor, alpha b	protein-coding
113542352	inavaa	-	innate immunity activator a	protein-coding
113542353	mlxip	-	MLX interacting protein	protein-coding
113542354	LOC113542354	-	carcinoembryonic antigen-related cell adhesion molecule 1	protein-coding
113542355	si:ch211-149k23.9	-	germ cell-specific gene 1-like protein	protein-coding
113542356	rcvrn2	-	recoverin 2	protein-coding
113542357	atg12	-	ATG12 autophagy related 12 homolog (S. cerevisiae)	protein-coding
113542358	LOC113542358	-	uncharacterized LOC113542358	ncRNA
113542359	dtx4b	-	deltex 4, E3 ubiquitin ligase b	protein-coding
113542361	rusc1	-	RUN and SH3 domain containing 1	protein-coding
113542362	c4b	-	complement C4B (Chido/Rodgers blood group)	protein-coding
113542363	osbpl3b	-	oxysterol binding protein-like 3b	protein-coding
113542364	sgsm1a	sgsm1	small G protein signaling modulator 1a	protein-coding
113542365	nfkb2	-	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	protein-coding
113542367	ankrd13a	-	ankyrin repeat domain 13A	protein-coding
113542368	slc6a4b	-	solute carrier family 6 member 4b	protein-coding
113542369	LOC113542369	-	BOLA class I histocompatibility antigen, alpha chain BL3-7	protein-coding
113542372	epas1b	epas1	endothelial PAS domain protein 1b	protein-coding
113542373	LOC113542373	-	class I histocompatibility antigen, F10 alpha chain-like	protein-coding
113542374	gatc	-	glutamyl-tRNA amidotransferase subunit C	protein-coding
113542375	LOC113542375	-	uncharacterized LOC113542375	protein-coding
113542376	LOC113542376	-	uncharacterized LOC113542376	protein-coding
113542377	LOC113542377	-	uncharacterized LOC113542377	protein-coding
113542379	LOC113542379	-	uncharacterized LOC113542379	protein-coding
113542380	vps37ba	-	VPS37B subunit of ESCRT-I a	protein-coding
113542381	usp39	-	ubiquitin specific peptidase 39	protein-coding
113542382	sftpbb	-	surfactant protein Bb	protein-coding
113542383	c24h2orf68	cunh2orf68	chromosome 24 C2orf68 homolog	protein-coding
113542384	tacr1a	-	tachykinin receptor 1a	protein-coding
113542385	ephb6	-	eph receptor B6	protein-coding
113542386	tlr21	-	toll-like receptor 21	protein-coding
113542387	LOC113542387	-	uncharacterized LOC113542387	protein-coding
113542388	pafah1b3	-	platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit	protein-coding
113542389	erfl3	-	Ets2 repressor factor like 3	protein-coding
113542390	rxrbb	-	retinoid x receptor, beta b	protein-coding
113542391	qsox2	-	quiescin Q6 sulfhydryl oxidase 2	protein-coding
113542392	znf384b	znf384	zinc finger protein 384 b	protein-coding
113542393	slc3a1	-	solute carrier family 3 member 1	protein-coding
113542394	inpp5jb	-	inositol polyphosphate-5-phosphatase Jb	protein-coding
113542395	pals2a	mpp6a	protein associated with LIN7 2, MAGUK p55 family member a	protein-coding
113542396	wscd2	-	WSC domain sialate O sulfotransferase 2	protein-coding
113542397	fhod3b	fhod3	formin homology 2 domain containing 3b	protein-coding
113542398	rab11fip5a	-	RAB11 family interacting protein 5a (class I)	protein-coding
113542399	LOC113542399	-	sodium-dependent neutral amino acid transporter B(0)AT3	protein-coding
113542400	slc6a19b	-	solute carrier family 6 member 19b	protein-coding
113542401	kmt5ab	-	lysine methyltransferase 5Ab	protein-coding
113542402	shc1	-	SHC (Src homology 2 domain containing) transforming protein 1	protein-coding
113542403	flad1	-	flavin adenine dinucleotide synthetase 1	protein-coding
113542404	olfm1a	olfm1	olfactomedin 1a	protein-coding
113542405	klf9	-	Kruppel-like factor 9	protein-coding
113542406	grik5	-	glutamate receptor, ionotropic, kainate 5	protein-coding
113542407	rad17	-	RAD17 checkpoint clamp loader component	protein-coding
113542408	ak6	-	adenylate kinase 6	protein-coding
113542409	ankrd28b	ankrd28	ankyrin repeat domain 28b	protein-coding
113542410	araf	-	A-Raf proto-oncogene, serine/threonine kinase	protein-coding
113542411	LOC113542411	-	hemoglobin subunit beta	protein-coding
113542412	brd3b	brd3	bromodomain containing 3b	protein-coding
113542413	hhip	-	hedgehog interacting protein	protein-coding
113542414	lrrc8ab	-	leucine rich repeat containing 8 VRAC subunit Ab	protein-coding
113542415	cxcr3.1	-	chemokine (C-X-C motif) receptor 3, tandem duplicate 1	protein-coding
113542417	LOC113542417	-	C-X-C chemokine receptor type 3	protein-coding
113542418	smad10b	si:dkey-239n17.4	SMAD family member 10b	protein-coding
113542419	LOC113542419	-	hemoglobin embryonic subunit alpha	protein-coding
113542420	rsrc2	-	arginine/serine-rich coiled-coil 2	protein-coding
113542421	si:ch211-257p13.3	-	kinesin-like protein KIFC3	protein-coding
113542422	ccdc12	-	coiled-coil domain containing 12	protein-coding
113542423	pygl	-	phosphorylase, glycogen, liver	protein-coding
113542424	necap1	-	NECAP endocytosis associated 1	protein-coding
113542425	aicda	-	activation-induced cytidine deaminase	protein-coding
113542426	mfap5	-	microfibril associated protein 5	protein-coding
113542427	cdc42ep5	-	CDC42 effector protein (Rho GTPase binding) 5	protein-coding
113542428	fabp4b	-	fatty acid binding protein 4b	protein-coding
113542429	plekha8	-	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	protein-coding
113542430	trim33l	-	tripartite motif containing 33, like	protein-coding
113542431	LOC113542431	-	uncharacterized protein DDB_G0271670	protein-coding
113542432	trim9	-	tripartite motif containing 9	protein-coding
113542433	nudt17	-	nudix (nucleoside diphosphate linked moiety X)-type motif 17	protein-coding
113542434	ebf2	-	EBF transcription factor 2	protein-coding
113542435	timm44	-	translocase of inner mitochondrial membrane 44 homolog (yeast)	protein-coding
113542436	krt1-c5	-	keratin, type 1, gene c5	protein-coding
113542437	LOC113542437	dao	D-amino-acid oxidase	protein-coding
113542438	zgc:174888	-	uncharacterized LOC113542438	protein-coding
113542439	rasip1	-	Ras interacting protein 1	protein-coding
113542440	psmd9	-	proteasome 26S subunit, non-ATPase 9	protein-coding
113542441	LOC113542441	-	uncharacterized LOC113542441	ncRNA
113542442	si:ch211-154o6.3	-	uncharacterized LOC113542442	protein-coding
113542443	LOC113542443	-	chemerin-like receptor 1	protein-coding
113542445	sra1	-	steroid receptor RNA activator 1	protein-coding
113542446	rbm12bb	rbm12b	RNA binding motif protein 12Bb	protein-coding
113542447	dedd1	dedd2	death effector domain-containing 1	protein-coding
113542448	rabac1	-	Rab acceptor 1 (prenylated)	protein-coding
113542449	nat14	-	N-acetyltransferase 14 (GCN5-related, putative)	protein-coding
113542450	prmt9	-	protein arginine methyltransferase 9	protein-coding
113542451	setdb1b	setdb1	SET domain bifurcated histone lysine methyltransferase 1b	protein-coding
113542452	trim108	-	tripartite motif containing 108	protein-coding
113542453	prkcg	-	protein kinase C, gamma	protein-coding
113542454	arl6ip4	-	ADP-ribosylation factor-like 6 interacting protein 4	protein-coding
113542455	mtrfr	c24h12orf65|cunh12orf65	mitochondrial translation release factor in rescue	protein-coding
113542456	u2af2a	-	U2 small nuclear RNA auxiliary factor 2a	protein-coding
113542457	isoc2	-	isochorismatase domain containing 2	protein-coding
113542458	pwwp2b	-	PWWP domain containing 2B	protein-coding
113542459	psat1	-	phosphoserine aminotransferase 1	protein-coding
113542460	mapkapk5	-	MAPK activated protein kinase 5	protein-coding
113542461	creb5b	creb5	cAMP responsive element binding protein 5b	protein-coding
113542462	mob1a	-	MOB kinase activator 1A	protein-coding
113542463	fkbp14	-	FKBP prolyl isomerase 14	protein-coding
113542464	abcb5	-	ATP-binding cassette, sub-family B (MDR/TAP), member 5	protein-coding
113542465	hoxa13b	hoxa13	homeobox A13b	protein-coding
113542466	pitpnc1b	-	phosphatidylinositol transfer protein cytoplasmic 1b	protein-coding
113542467	LOC113542467	lrrc27	leucine-rich repeat-containing protein 27	protein-coding
113542468	ttyh1	-	tweety family member 1	protein-coding
113542469	zgc:171704	-	Ras-related and estrogen-regulated growth inhibitor-like protein	protein-coding
113542470	hdac9b	-	histone deacetylase 9b	protein-coding
113542471	LOC113542471	ankrd34a	ankyrin repeat domain-containing protein 34A	protein-coding
113542472	clstn3	-	calsyntenin 3	protein-coding
113542473	si:dkey-7j14.5	-	uncharacterized LOC113542473	protein-coding
113542474	LOC113542474	-	mRNA decay activator protein ZFP36L2	protein-coding
113542475	LOC113542475	sds	L-serine dehydratase/L-threonine deaminase	protein-coding
113542476	LOC113542476	brd3os	putative uncharacterized protein BRD3OS	protein-coding
113542477	htra4	-	HtrA serine peptidase 4	protein-coding
113542478	tm2d2	-	TM2 domain containing 2	protein-coding
113542479	vars1	vars	valyl-tRNA synthetase 1	protein-coding
113542480	cfap251	wdr66	cilia and flagella associated protein 251	protein-coding
113542481	si:ch73-54f23.4	-	zinc-binding protein A33	protein-coding
113542482	LOC113542482	-	von Willebrand factor A domain-containing protein 7	protein-coding
113542483	ddr1	-	discoidin domain receptor tyrosine kinase 1	protein-coding
113542484	si:dkeyp-77h1.4	-	uncharacterized si:dkeyp-77h1.4	protein-coding
113542485	tubb5	tubb	tubulin, beta 5	protein-coding
113542486	flot1b	flot1	flotillin 1b	protein-coding
113542487	mdc1	-	mediator of DNA damage checkpoint 1	protein-coding
113542488	tbx3b	-	T-box transcription factor 3b	protein-coding
113542489	LOC113542489	-	group 3 secretory phospholipase A2	protein-coding
113542490	LOC113542490	-	zinc metalloproteinase-disintegrin-like crotastatin	protein-coding
113542491	tpi1b	tpi1	triosephosphate isomerase 1b	protein-coding
113542492	snx10b	snx10	sorting nexin 10b	protein-coding
113542493	rilpl2	-	Rab interacting lysosomal protein-like 2	protein-coding
113542494	si:ch73-22o12.1	nectin2	nectin-2	protein-coding
113542495	chtopb	-	chromatin target of PRMT1b	protein-coding
113542496	LOC113542496	-	von Willebrand factor A domain-containing protein 7-like	protein-coding
113542497	atp8b2	-	ATPase phospholipid transporting 8B2	protein-coding
113542498	il6r	-	interleukin 6 receptor	protein-coding
113542500	cxcr3.2	-	chemokine (C-X-C motif) receptor 3, tandem duplicate 2	protein-coding
113542501	LOC113542501	-	von Willebrand factor A domain-containing protein 7-like	protein-coding
113542502	LOC113542502	ttc24	tetratricopeptide repeat protein 24	protein-coding
113542503	sbk3	-	SH3 domain binding kinase family, member 3	protein-coding
113542504	ppil3	-	peptidylprolyl isomerase (cyclophilin)-like 3	protein-coding
113542505	LOC113542505	-	zinc-binding protein A33	protein-coding
113542506	unc5db	unc5d	unc-5 netrin receptor Db	protein-coding
113542507	setd2	-	SET domain containing 2, histone lysine methyltransferase	protein-coding
113542508	LOC113542508	-	uncharacterized LOC113542508	protein-coding
113542509	LOC113542509	usp30	ubiquitin carboxyl-terminal hydrolase 30	protein-coding
113542510	washc2c	-	WASH complex subunit 2C	protein-coding
113542511	pxmp2	-	peroxisomal membrane protein 2	protein-coding
113542513	si:ch211-254p10.2	-	solute carrier family 40 member 1	protein-coding
113542514	LOC113542514	-	synaptobrevin-1	protein-coding
113542515	cacng7b	-	calcium channel, voltage-dependent, gamma subunit 7b	protein-coding
113542516	tmem119a	tmem119	transmembrane protein 119a	protein-coding
113542517	znf628	-	zinc finger protein 628	protein-coding
113542518	ntd5	-	ntl-dependent gene 5	protein-coding
113542519	LOC113542519	ccno	cyclin-O	protein-coding
113542520	abhd17b	-	abhydrolase domain containing 17B, depalmitoylase	protein-coding
113542521	spaw	-	southpaw	protein-coding
113542522	cntrl	-	centriolin	protein-coding
113542523	c5	-	complement component 5	protein-coding
113542524	pappab	-	pregnancy-associated plasma protein A, pappalysin 1b	protein-coding
113542525	LOC113542525	-	regulator of G-protein signaling 3	protein-coding
113542526	ninl	-	ninein-like	protein-coding
113542527	dnm1b	-	dynamin 1b	protein-coding
113542528	ciz1b	-	cdkn1a interacting zinc finger protein 1b	protein-coding
113542529	prdm12b	-	PR domain containing 12b	protein-coding
113542530	ak5l	-	adenylate kinase 5, like	protein-coding
113542531	surf4l	-	surfeit 4, like	protein-coding
113542532	cmlc1	-	cardiac myosin light chain-1	protein-coding
113542533	LOC113542533	-	uncharacterized LOC113542533	ncRNA
113542534	LOC113542534	-	nuclear factor 7, brain	protein-coding
113542535	LOC113542535	acad10	acyl-CoA dehydrogenase family member 10	protein-coding
113542536	LOC113542536	aldh2	aldehyde dehydrogenase, mitochondrial	protein-coding
113542537	gins1	-	GINS complex subunit 1 (Psf1 homolog)	protein-coding
113542538	mrps2	-	mitochondrial ribosomal protein S2	protein-coding
113542539	stmn2a	-	stathmin 2a	protein-coding
113542540	gcnt7	-	glucosaminyl (N-acetyl) transferase family member 7	protein-coding
113542541	LOC113542541	-	chemerin-like receptor 1	protein-coding
113542542	LOC113542542	-	chemerin-like receptor 1	protein-coding
113542543	anxa1a	anxa1	annexin A1a	protein-coding
113542544	znf574	-	zinc finger protein 574	protein-coding
113542545	LOC113542545	-	C-type lectin domain family 4 member A-like	protein-coding
113542546	LOC113542546	-	CD209 antigen-like protein D	protein-coding
113542547	LOC113542547	-	natural killer cells antigen CD94	protein-coding
113542548	LOC113542548	-	steroid 21-hydroxylase	protein-coding
113542549	hacl1	-	2-hydroxyacyl-CoA lyase 1	protein-coding
113542550	pex5	-	peroxisomal biogenesis factor 5	protein-coding
113542551	asrgl1	-	asparaginase and isoaspartyl peptidase 1	protein-coding
113542552	gpsm1a	-	G protein signaling modulator 1a	protein-coding
113542553	LOC113542553	-	polyadenylate-binding protein 4	protein-coding
113542555	thbs3a	thbs3	thrombospondin 3a	protein-coding
113542556	pou2f2b	pou2f2|pou2f2a	POU class 2 homeobox 2b	protein-coding
113542557	LOC113542557	-	zinc finger protein 398	protein-coding
113542558	gnl1	-	G protein nucleolar 1	protein-coding
113542559	cnfn	-	cornifelin	protein-coding
113542560	vps33a	-	VPS33A core subunit of CORVET and HOPS complexes	protein-coding
113542561	slc4a5a	-	solute carrier family 4 member 5a	protein-coding
113542562	zcchc8	-	zinc finger, CCHC domain containing 8	protein-coding
113542563	clip1a	clip1	CAP-GLY domain containing linker protein 1a	protein-coding
113542564	il11a	il11	interleukin 11a	protein-coding
113542565	kntc1	-	kinetochore associated 1	protein-coding
113542566	skap2	-	src kinase associated phosphoprotein 2	protein-coding
113542567	tax1bp1b	tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1b	protein-coding
113542568	jazf1b	jazf1	JAZF zinc finger 1b	protein-coding
113542569	LOC113542569	-	uncharacterized LOC113542569	ncRNA
113542570	cpvl	-	carboxypeptidase vitellogenic like	protein-coding
113542571	lman2lb	-	lectin, mannose-binding 2-like b	protein-coding
113542572	LOC113542572	-	uncharacterized LOC113542572	protein-coding
113542574	sntb1	-	syntrophin, basic 1	protein-coding
113542575	she	-	Src homology 2 domain containing E	protein-coding
113542576	lpcat3	-	lysophosphatidylcholine acyltransferase 3	protein-coding
113542578	trpv6	-	transient receptor potential cation channel, subfamily V, member 6	protein-coding
113542580	LOC113542580	-	vesicle-associated membrane protein 5	protein-coding
113542581	si:dkey-92i15.4	-	aquaporin-10	protein-coding
113542582	zgc:152968	-	uncharacterized LOC113542582	protein-coding
113542584	slc33a2	mfsd3	solute carrier family 33 member 2	protein-coding
113542585	oclnb	ocln	occludin b	protein-coding
113542586	ncaph	-	non-SMC condensin I complex, subunit H	protein-coding
113542587	zgc:110329	-	uncharacterized LOC113542587	protein-coding
113542588	zgc:113436	-	uncharacterized LOC113542588	protein-coding
113542589	loxl2b	-	lysyl oxidase-like 2b	protein-coding
113542590	hibadhb	hibadh	3-hydroxyisobutyrate dehydrogenase b	protein-coding
113542591	LOC113542591	-	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like	protein-coding
113542592	tmc1	-	transmembrane channel-like 1	protein-coding
113542593	tmc2b	-	transmembrane channel-like 2b	protein-coding
113542597	svopa	svop	SV2 related protein a	protein-coding
113542598	grwd1	-	glutamate-rich WD repeat containing 1	protein-coding
113542600	LOC113542600	-	xenotropic and polytropic retrovirus receptor 1 homolog	protein-coding
113542601	LOC113542601	-	trichohyalin-like	protein-coding
113542602	zgc:101858	-	uncharacterized LOC113542602	protein-coding
113542603	LOC113542603	-	FRAS1-related extracellular matrix protein 2-like	pseudo
113542604	dcst1	-	DC-STAMP domain containing 1	protein-coding
113542605	LOC113542605	cunh7orf31	uncharacterized LOC113542605	protein-coding
113542606	g6fl	-	g6f-like	protein-coding
113542607	carnmt1	-	carnosine N-methyltransferase 1	protein-coding
113542608	znf687a	-	zinc finger protein 687a	protein-coding
113542610	LOC113542610	-	uncharacterized LOC113542610	ncRNA
113542611	npr1b	-	natriuretic peptide receptor 1b	protein-coding
113542612	znf827	-	zinc finger protein 827	protein-coding
113542613	ltap1	c1h1orf43|cunh1orf43	lipid transport auxiliary protein 1	protein-coding
113542614	adam28	-	ADAM metallopeptidase domain 28	protein-coding
113542615	ppp3cca	-	protein phosphatase 3, catalytic subunit, gamma isozyme, a	protein-coding
113542616	cacng8b	-	calcium channel, voltage-dependent, gamma subunit 8b	protein-coding
113542617	zbtb26	-	zinc finger and BTB domain containing 26	protein-coding
113542618	LOC113542618	-	rab5 GDP/GTP exchange factor	protein-coding
113542619	abhd16a	-	abhydrolase domain containing 16A, phospholipase	protein-coding
113542620	gnb3a	gnb3	guanine nucleotide binding protein (G protein), beta polypeptide 3a	protein-coding
113542621	cdca3	-	cell division cycle associated 3	protein-coding
113542622	lenep	-	lens epithelial protein	protein-coding
113542623	alkbh2	-	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	protein-coding
113542624	bcl7a	-	BAF chromatin remodeling complex subunit BCL7A	protein-coding
113542625	mat2ab	mat2a	methionine adenosyltransferase 2Ab	protein-coding
113542626	si:dkey-233k19.3	-	dynein axonemal heavy chain 11	protein-coding
113542627	rapgef5b	-	Rap guanine nucleotide exchange factor (GEF) 5b	protein-coding
113542628	zgc:92606	-	uncharacterized LOC113542628	protein-coding
113542629	ogfod2	-	2-oxoglutarate and iron-dependent oxygenase domain containing 2	protein-coding
113542630	nbeal2	-	neurobeachin-like 2	protein-coding
113542631	LOC113542631	-	transmembrane emp24 domain-containing protein 2	protein-coding
113542633	colq	-	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	protein-coding
113542634	zgc:64051	-	leukocyte surface antigen CD53	protein-coding
113542635	foxj2	-	forkhead box J2	protein-coding
113542636	cops7a	-	COP9 constitutive photomorphogenic homolog subunit 7A	protein-coding
113542637	dscc1	-	DNA replication and sister chromatid cohesion 1	protein-coding
113542638	LOC113542638	-	uncharacterized LOC113542638	ncRNA
113542639	leng8	-	leukocyte receptor cluster (LRC) member 8	protein-coding
113542640	dbpb	-	D site albumin promoter binding protein b	protein-coding
113542641	macc1	-	MET transcriptional regulator MACC1	protein-coding
113542643	cd4-1	-	CD4-1 molecule	protein-coding
113542644	unga	ung	uracil DNA glycosylase a	protein-coding
113542645	cldc1	si:ch73-86n18.1	C-type lectin domain containing 1	protein-coding
113542646	mthfd2	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	protein-coding
113542647	parga	parg	poly (ADP-ribose) glycohydrolase a	protein-coding
113542648	ino80e	-	INO80 complex subunit E	protein-coding
113542649	syt11b	-	synaptotagmin XIb	protein-coding
113542650	hjv	-	hemojuvelin BMP co-receptor	protein-coding
113542651	txnipb	-	thioredoxin interacting protein b	protein-coding
113542652	arvcfb	arvcf	ARVCF delta catenin family member b	protein-coding
113542653	tacc2	-	transforming, acidic coiled-coil containing protein 2	protein-coding
113542655	naaladl1	-	N-acetylated alpha-linked acidic dipeptidase like 1	protein-coding
113542656	tango2	-	transport and golgi organization 2 homolog (Drosophila)	protein-coding
113542657	tmem150aa	-	transmembrane protein 150Aa	protein-coding
113542658	rnf181	-	ring finger protein 181	protein-coding
113542660	polr3glb	polr3gl	RNA polymerase III subunit GL b	protein-coding
113542661	LOC113542661	-	small nucleolar RNA U3	snoRNA
113542662	LOC113542662	-	U7 small nuclear RNA	snRNA
113542663	trnaa-cgc	-	transfer RNA alanine (anticodon CGC)	tRNA
113542664	trnav-aac	-	transfer RNA valine (anticodon AAC)	tRNA
113542665	trnak-uuu	-	transfer RNA lysine (anticodon UUU)	tRNA
113542666	col6a2	-	collagen, type VI, alpha 2	protein-coding
113542667	trnaq-uug	-	transfer RNA glutamine (anticodon UUG)	tRNA
113542668	trnaq-cug	-	transfer RNA glutamine (anticodon CUG)	tRNA
113542670	LOC113542670	-	POU domain, class 3, transcription factor 4-like	protein-coding
113542671	slitrk2	-	SLIT and NTRK-like family, member 2	protein-coding
113542673	si:ch211-159i8.4	-	matrix-remodeling-associated protein 5	protein-coding
113542675	nup62l	-	nucleoporin 62 like	protein-coding
113542676	st3gal5	-	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	protein-coding
113542677	thoc2	-	THO complex 2	protein-coding
113542678	LOC113542678	-	uncharacterized LOC113542678	pseudo
113542679	LOC113542679	-	charged multivesicular body protein 1b	protein-coding
113542680	qdpra	-	quinoid dihydropteridine reductase a	protein-coding
113542681	slitrk4	-	SLIT and NTRK-like family, member 4	protein-coding
113542682	lpar4	-	lysophosphatidic acid receptor 4	protein-coding
113542683	bbs7	-	Bardet-Biedl syndrome 7	protein-coding
113542684	LOC113542684	-	uncharacterized LOC113542684	protein-coding
113542685	LOC113542685	-	uncharacterized LOC113542685	protein-coding
113542686	LOC113542686	-	uncharacterized LOC113542686	protein-coding
113542687	sh2d1ab	sh2d1a	SH2 domain containing 1A duplicate b	protein-coding
113542688	si:ch211-153b23.3	-	uncharacterized si:ch211-153b23.3	protein-coding
113542689	smad1	-	SMAD family member 1	protein-coding
113542690	irg1l	-	immunoresponsive gene 1, like	protein-coding
113542691	si:ch73-43g23.1	-	uncharacterized si:ch73-43g23.1	protein-coding
113542692	col23a1a	col23a1|si:dkeyp-44a8.4	collagen type XXIII alpha 1 chain a	protein-coding
113542693	slu7	-	SLU7 homolog, splicing factor	protein-coding
113542694	clk4a	-	CDC-like kinase 4a	protein-coding
113542695	c1qtnf2	-	C1q and TNF related 2	protein-coding
113542696	hbegfa	-	heparin-binding EGF-like growth factor a	protein-coding
113542697	si:ch211-274f20.2	-	calnexin	protein-coding
113542698	rab33a	-	RAB33A, member RAS oncogene family	protein-coding
113542699	fgf16	-	fibroblast growth factor 16	protein-coding
113542700	tmem33	-	transmembrane protein 33	protein-coding
113542701	ccna2	-	cyclin A2	protein-coding
113542702	si:ch211-153b23.4	-	uncharacterized LOC113542702	protein-coding
113542703	erlin1	-	ER lipid raft associated 1	protein-coding
113542704	si:ch211-153b23.7	-	TNFAIP3-interacting protein 3	protein-coding
